 "s" , "p" , "v" ,
 "_:b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "https://myontology.com#business" ,
 "_:b0" , "https://myontology.com#business_id" , "6iYb2HFDywm3zjuRg0shjw" ,
 "_:b0" , "https://myontology.com#stars" , "4.0" ,
 "_:b0" , "https://myontology.com#address" , "921 Pearl St" ,
 "_:b0" , "https://myontology.com#attributes" , "_:b1" ,
 "_:b0" , "https://myontology.com#categories" , "Gastropubs, Food, Beer Gardens, Restaurants, Bars, American (Traditional), Beer Bar, Nightlife, Breweries" ,
 "_:b0" , "https://myontology.com#city" , "Boulder" ,
 "_:b0" , "https://myontology.com#hours" , "_:b2" ,
 "_:b0" , "https://myontology.com#is_open" , "1" ,
 "_:b0" , "https://myontology.com#latitude" , "40.017544" ,
 "_:b0" , "https://myontology.com#longitude" , "-105.28335" ,
 "_:b0" , "https://myontology.com#name" , "Oskar Blues Taproom" ,
 "_:b0" , "https://myontology.com#postal_code" , "80302" ,
 "_:b0" , "https://myontology.com#review_count" , "86" ,
 "_:b0" , "https://myontology.com#state" , "CO" ,
